\INPUT_FILE = /exodata/ETSS-prep/KELT/doN04/raw/KELT_N04_lc_070323_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 11:06:17 2006"               
\STOP_DATE = "Mon Nov 24, 11:50:37 2008"               
\fixlen = T
\NUMRECORDS = 199      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Mar 02, 01:25:27 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454790.992071 14.43860 0.01067 
 2454790.994171 14.44717 0.01087 
 2454790.996285 14.44876 0.01090 
 2454790.998381 14.43314 0.01078 
 2454791.000503 14.44737 0.01085 
 2454791.002599 14.43553 0.01078 
 2454791.004718 14.43636 0.01081 
 2454791.006811 14.43233 0.01078 
 2454791.008929 14.45023 0.01068 
 2454791.011031 14.45689 0.01065 
 2454791.013151 14.44472 0.01085 
 2454791.019470 14.44676 0.01109 
 2454791.021585 14.43243 0.01129 
 2454791.023679 14.43519 0.01138 
 2454791.025796 14.42479 0.01116 
 2454791.908886 14.46004 0.01048 
 2454791.931835 14.45653 0.01157 
 2454791.947125 14.46546 0.01060 
 2454791.954756 14.47197 0.01056 
 2454791.959283 14.45551 0.01038 
 2454791.968354 14.46089 0.01006 
 2454791.972886 14.45948 0.01012 
 2454791.977443 14.46146 0.01015 
 2454791.981983 14.47551 0.01012 
 2454791.993445 14.46528 0.01031 
 2454791.997977 14.44533 0.01041 
 2454792.002496 14.45023 0.01039 
 2454792.007043 14.45994 0.01048 
 2454792.011578 14.44631 0.01049 
 2454792.016103 14.45119 0.01045 
 2454792.020647 14.44947 0.01044 
 2454792.025189 14.45627 0.01055 
 2454792.032440 14.45190 0.01123 
 2454792.039675 14.46978 0.01351 
 2454792.909264 14.47182 0.01082 
 2454792.928856 14.45715 0.01032 
 2454792.938652 14.47328 0.01006 
 2454793.966179 14.43578 0.01265 
 2454793.988672 14.45344 0.01069 
 2454794.003964 14.44718 0.01043 
 2454794.011592 14.44399 0.01040 
 2454794.026868 14.44985 0.01045 
 2454794.031396 14.45436 0.00983 
 2454794.035945 14.45851 0.01009 
 2454794.040486 14.42548 0.01123 
 2454794.913391 14.45870 0.01009 
 2454794.923196 14.45885 0.01020 
 2454794.933000 14.44018 0.01044 
 2454794.993484 14.45465 0.01106 
