\INPUT_FILE = /exodata/ETSS-prep/KELT/doN04/raw/KELT_N04_lc_024754_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:24:43 2006"               
\STOP_DATE = "Mon Nov 24, 08:15:02 2008"               
\fixlen = T
\NUMRECORDS = 1834     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Mar 02, 05:41:31 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454054.843920 15.36035 0.02029 
 2454054.849290 15.36006 0.02035 
 2454054.854661 15.33776 0.02030 
 2454054.856763 15.34690 0.02022 
 2454054.861286 15.32705 0.02040 
 2454054.865804 15.35262 0.01980 
 2454054.870329 15.37337 0.01998 
 2454054.874850 15.35449 0.01996 
 2454054.879368 15.33396 0.02063 
 2454054.883894 15.35055 0.02059 
 2454054.888416 15.35422 0.02077 
 2454054.892933 15.35953 0.02042 
 2454055.772343 15.35558 0.02071 
 2454055.776868 15.32678 0.02070 
 2454055.781390 15.34459 0.02077 
 2454055.785908 15.36354 0.02038 
 2454055.790433 15.35740 0.02013 
 2454055.794955 15.35034 0.02054 
 2454055.799480 15.33380 0.02008 
 2454055.804000 15.33728 0.02016 
 2454055.808523 15.36678 0.01948 
 2454055.813048 15.34366 0.01990 
 2454055.817571 15.35793 0.01972 
 2454055.822937 15.32508 0.02005 
 2454055.828306 15.34205 0.01974 
 2454055.833676 15.34048 0.01950 
 2454055.839046 15.34513 0.01969 
 2454055.844417 15.32833 0.02023 
 2454055.849786 15.35431 0.02015 
 2454055.855157 15.35018 0.01929 
 2454055.857263 15.35790 0.01947 
 2454055.861787 15.33888 0.01903 
 2454055.866310 15.35252 0.01954 
 2454055.870835 15.33164 0.01936 
 2454055.875361 15.33618 0.01915 
 2454055.879880 15.37116 0.01917 
 2454055.884405 15.33456 0.01890 
 2454055.888930 15.32440 0.01914 
 2454055.893452 15.33827 0.01975 
 2454056.767658 15.36198 0.02013 
 2454056.772182 15.34121 0.01946 
 2454056.776704 15.36512 0.02014 
 2454056.781223 15.38174 0.01977 
 2454056.785747 15.35611 0.01941 
 2454056.790272 15.35806 0.01976 
 2454056.794798 15.36311 0.01939 
 2454056.799320 15.34660 0.01982 
 2454056.803845 15.32823 0.02003 
 2454056.808370 15.33585 0.02006 
 2454056.812890 15.34416 0.02006 
 2454056.817413 15.35519 0.02037 
 2454056.822776 15.35375 0.01945 
 2454056.828144 15.35056 0.01960 
 2454056.833514 15.35770 0.01994 
 2454056.838878 15.36882 0.01977 
 2454056.844246 15.34763 0.01941 
 2454056.851720 15.36923 0.01989 
 2454057.768074 15.38490 0.02083 
 2454057.772592 15.35925 0.02063 
 2454057.777117 15.33952 0.02131 
 2454057.781642 15.35246 0.02109 
 2454057.786163 15.34417 0.02081 
 2454057.790682 15.38969 0.02039 
 2454057.795206 15.35673 0.02097 
 2454057.799731 15.37025 0.02024 
 2454057.804254 15.35601 0.02166 
 2454057.808772 15.35506 0.02066 
 2454057.813297 15.37000 0.02001 
 2454057.818668 15.36801 0.01985 
 2454057.824037 15.34467 0.01992 
 2454057.829401 15.37413 0.02005 
 2454057.834769 15.37429 0.02056 
 2454057.840137 15.34681 0.02023 
 2454057.845500 15.36129 0.02070 
 2454057.850869 15.35421 0.02071 
 2454057.852971 15.34696 0.02129 
 2454057.857494 15.37468 0.02059 
 2454057.862014 15.37927 0.02054 
 2454057.866538 15.37254 0.02037 
 2454057.871052 15.35713 0.02097 
 2454057.875573 15.34191 0.02089 
 2454057.880097 15.35296 0.02064 
 2454057.884618 15.36248 0.02055 
