\INPUT_FILE = /exodata/ETSS-prep/KELT/s12/raw/KELT_S12_lc_025329_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Mon Mar 29, 03:20:20 2010"               
\STOP_DATE = "Sat Sep 13, 18:14:15 2014"               
\fixlen = T
\NUMRECORDS = 1689     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Jan 08, 16:08:16 2020
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2455379.432983 14.07133 0.02972 
 2455379.442262 14.07350 0.02855 
 2455379.453758 14.08427 0.02980 
 2455379.467320 14.12129 0.02955 
 2455380.384677 14.12376 0.02071 
 2455380.398434 14.12091 0.02100 
 2455380.414334 14.10242 0.02407 
 2455380.428019 14.07532 0.02629 
 2455380.439485 14.12087 0.02453 
 2455380.453188 14.09362 0.02718 
 2455380.468931 14.10316 0.02800 
 2455385.370093 14.10949 0.01891 
 2455385.383863 14.08559 0.01969 
 2455385.399795 14.08370 0.01803 
 2455385.413486 14.12652 0.01701 
 2455385.424954 14.08635 0.01739 
 2455385.438644 14.12640 0.01667 
 2455391.351626 14.09722 0.02001 
 2455391.365395 14.08493 0.02078 
 2455391.381298 14.04115 0.02007 
 2455391.394980 14.08256 0.01892 
 2455391.408823 14.09858 0.01990 
 2455391.436031 14.09684 0.02013 
 2455394.339473 14.09167 0.01955 
 2455394.351082 14.09744 0.01894 
 2455394.364759 14.09978 0.02012 
 2455394.378533 14.08164 0.01997 
 2455394.392366 14.09618 0.01883 
 2455394.403894 14.07468 0.02118 
 2455394.417749 14.09960 0.02010 
 2455394.433619 14.07423 0.02044 
 2455395.324985 14.11711 0.02167 
 2455395.337014 14.12379 0.02089 
 2455395.344503 14.12299 0.02140 
 2455395.351981 14.11159 0.02187 
 2455395.361532 14.05305 0.02237 
 2455395.373231 14.10772 0.02063 
 2455395.385046 14.14590 0.02062 
 2455395.396759 14.07110 0.02186 
 2455395.406245 14.09404 0.02108 
 2455395.417943 14.07522 0.02183 
 2455396.332353 14.13263 0.02626 
 2455396.339842 14.08292 0.02850 
 2455396.347324 14.06676 0.02835 
 2455396.356872 14.13426 0.02765 
 2455396.368596 14.08795 0.02598 
 2455396.380323 14.11518 0.02821 
 2455396.392054 14.10514 0.02813 
 2455396.401515 14.11673 0.02691 
 2455396.413226 14.07189 0.02820 
 2455396.427023 14.09981 0.02789 
 2455406.295583 14.08835 0.04019 
 2455406.316608 14.10770 0.04423 
 2455406.332461 14.18736 0.04206 
 2455406.346250 14.04538 0.04651 
 2455406.357819 14.08981 0.04445 
 2455406.367128 14.20997 0.04605 
 2455406.378656 14.18885 0.04655 
 2455408.306418 14.08089 0.02155 
 2455408.320218 14.11252 0.01995 
 2455408.336158 14.10123 0.02188 
 2455408.349860 14.06191 0.02610 
 2455408.363728 14.14444 0.02943 
 2455409.306608 14.06276 0.01940 
 2455409.322486 14.11412 0.01859 
 2455409.338441 14.11656 0.01943 
 2455409.352160 14.04650 0.02086 
 2455409.363660 14.05697 0.01947 
 2455409.377370 14.08433 0.02300 
 2455409.391080 14.10888 0.02537 
 2455410.302304 14.07952 0.01966 
 2455410.316105 14.07538 0.01862 
 2455410.332046 14.15367 0.01860 
 2455410.345779 14.06551 0.01964 
 2455410.357275 14.09510 0.01860 
 2455410.371006 14.10708 0.01860 
 2455410.386775 14.08461 0.01825 
 2455411.281706 14.23987 0.02137 
 2455411.302769 14.21072 0.01943 
 2455411.318638 14.30028 0.01988 
 2455411.334578 14.24997 0.01910 
 2455411.348307 14.26471 0.01903 
 2455411.359813 14.26592 0.01927 
 2455411.373542 14.26293 0.01928 
 2455411.387264 14.26007 0.01972 
 2455412.289665 14.11583 0.01743 
