# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jan  6 21:24:27 2026
#
# COLUMN matchid:        User List Record
# COLUMN name_user:      User Name
# COLUMN ra_user:        User RA
# COLUMN dec_user:       User Dec
# COLUMN dist_user:      Match Distance
# COLUMN kelt_sourceid:  Source ID
# COLUMN kelt_field:     Survey Field
# COLUMN proc_type:      Processing
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN bjdstart:       Start BJD [days]
# COLUMN bjdstop:        End BJD [days]
# COLUMN kelt_mag:       Magnitude
# COLUMN npts:           Points in Statistics Calculation
# COLUMN median:         Median of Time Series [mag]
# COLUMN stddevwrtmedian: Std dev of Time Series wrt median [mag]
# COLUMN range595:       5-95% range of Time Series[mag]
#
loc_rowid,matchid,name_user,ra_user,dec_user,dist_user,kelt_sourceid,kelt_field,proc_type,ra,dec,bjdstart,bjdstop,kelt_mag,npts,median,stddevwrtmedian,range595
26,16,TIC 283651681,233.04819499999999,-57.12565000000,0.00353494,KELT_S37_lc_072046_V01_east,S37,raw,233.05403,-57.12722,2456674.589200,2457226.230453,14.566,1072,14.564045,0.083031,0.195770
27,16,TIC 283651681,233.04819499999999,-57.12565000000,0.00353494,KELT_S37_lc_072046_V01_east,S37,tfa,233.05403,-57.12722,2456674.589200,2457226.230453,14.566,1053,14.564990,0.034311,0.114500
28,16,TIC 283651681,233.04819499999999,-57.12565000000,0.00353494,KELT_S37_lc_072046_V01_east,S37,tfa,233.05403,-57.12722,2456541.271610,2457277.264485,14.507,1004,14.496830,0.036691,0.120630
29,18,TIC 444544588,147.42031551612001,-58.69818275572,0.00333186,KELT_S34_lc_030753_V01_east,S34,tfa,147.42327,-58.70114,2455200.351102,2456754.242198,13.520,2692,13.507840,0.017129,0.055850
30,18,TIC 444544588,147.42031551612001,-58.69818275572,0.00333186,KELT_S34_lc_030753_V01_east,S34,tfa,147.42327,-58.70114,2455200.500020,2456822.225711,13.257,2935,13.253150,0.017339,0.055320
31,18,TIC 444544588,147.42031551612001,-58.69818275572,0.00333186,KELT_S34_lc_030753_V01_east,S34,raw,147.42327,-58.70114,2455200.351102,2456754.242198,13.520,2781,13.511110,0.049492,0.095410
32,18,TIC 444544588,147.42031551612001,-58.69818275572,0.00333186,KELT_S34_lc_030753_V01_east,S34,raw,147.42327,-58.70114,2455200.500020,2456822.225711,13.257,3066,13.251065,0.065778,0.101440
33,22,TIC 253270207,195.78110128834001,-54.84025785279,0.00138858,KELT_S38_lc_083844_V01_east,S38,tfa,195.78165,-54.84161,2456647.569395,2457385.577241,14.567,939,14.539510,0.036891,0.122040
34,22,TIC 253270207,195.78110128834001,-54.84025785279,0.00138858,KELT_S38_lc_083844_V01_east,S38,tfa,195.78165,-54.84161,2456691.610981,2457246.243742,14.435,1324,14.425830,0.031318,0.102550
35,22,TIC 253270207,195.78110128834001,-54.84025785279,0.00138858,KELT_S38_lc_083844_V01_east,S38,raw,195.78165,-54.84161,2456691.610981,2457246.243742,14.435,1367,14.426690,0.055372,0.161900
36,22,TIC 253270207,195.78110128834001,-54.84025785279,0.00138858,KELT_S38_lc_083844_V01_east,S38,raw,195.78165,-54.84161,2456647.569395,2457385.577241,14.567,989,14.541020,0.078774,0.222680
37,30,TIC 84546771,96.59954151037000,27.94561766518,0.00229583,KELT_N04_lc_023392_V01_east,N04,tfa,96.60066,27.94769,2454035.962698,2454794.993484,14.453,195,14.455270,0.014019,0.042360
38,30,TIC 84546771,96.59954151037000,27.94561766518,0.00229583,KELT_N04_lc_023392_V01_east,N04,raw,96.60066,27.94769,2454035.808833,2454794.843776,14.393,1834,14.392335,0.055228,0.167700
39,30,TIC 84546771,96.59954151037000,27.94561766518,0.00229583,KELT_N04_lc_023392_V01_east,N04,raw,96.60066,27.94769,2454035.962698,2454794.993484,14.453,199,14.456260,0.049718,0.047170
40,30,TIC 84546771,96.59954151037000,27.94561766518,0.00229583,KELT_N04_lc_023392_V01_east,N04,tfa,96.60066,27.94769,2454035.808833,2454794.843776,14.393,1712,14.392530,0.016707,0.044370
41,34,TIC 165615442,259.91495613166001,14.02535190909,0.00098377,KELT_S12_lc_028632_V01_east,S12,raw,259.91547,14.02620,2455268.592304,2456889.230348,14.292,1954,14.300735,0.068379,0.208220
42,34,TIC 165615442,259.91495613166001,14.02535190909,0.00098377,KELT_S12_lc_028632_V01_east,S12,raw,259.91547,14.02620,2455284.639125,2456914.259898,14.114,1689,14.121900,0.053777,0.184640
43,34,TIC 165615442,259.91495613166001,14.02535190909,0.00098377,KELT_S12_lc_028632_V01_east,S12,tfa,259.91547,14.02620,2455268.592304,2456524.230578,14.292,1390,14.293250,0.044235,0.150940
44,34,TIC 165615442,259.91495613166001,14.02535190909,0.00098377,KELT_S12_lc_028632_V01_east,S12,tfa,259.91547,14.02620,2455284.639125,2456552.252172,14.114,1226,14.118110,0.039992,0.141410
45,35,TIC 121092916,57.33600000000000,-23.52418500000,0.00152649,KELT_S30_lc_032042_V01_east,S30,raw,57.33670,-23.52280,2455805.472747,2456625.377570,15.396,339,15.424590,0.112159,0.383770
46,35,TIC 121092916,57.33600000000000,-23.52418500000,0.00152649,KELT_S30_lc_032042_V01_east,S30,tfa,57.33670,-23.52280,2455810.630136,2457086.280974,15.332,415,15.339250,0.066810,0.226080
47,35,TIC 121092916,57.33600000000000,-23.52418500000,0.00152649,KELT_S30_lc_032042_V01_east,S30,tfa,57.33670,-23.52280,2455805.472747,2456625.377570,15.396,323,15.421690,0.054221,0.176190
48,35,TIC 121092916,57.33600000000000,-23.52418500000,0.00152649,KELT_S30_lc_032042_V01_east,S30,raw,57.33670,-23.52280,2455810.630136,2457086.280974,15.332,434,15.341255,0.133364,0.393810
