\INPUT_FILE = /exodata/ETSS-prep/KELT/s12/raw/KELT_S12_lc_028632_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Sat Mar 13, 02:12:55 2010"               
\STOP_DATE = "Tue Aug 19, 17:31:42 2014"               
\fixlen = T
\NUMRECORDS = 1954     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Jan 08, 16:08:15 2020
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2455337.446812 14.44343 0.02505 
 2455337.462713 14.45494 0.02428 
 2455337.476431 14.45418 0.02452 
 2455338.391773 14.19754 0.03837 
 2455338.403470 14.28601 0.03512 
 2455338.415166 14.30451 0.03685 
 2455338.424646 14.27531 0.03143 
 2455338.436256 14.30011 0.04109 
 2455338.447870 14.24114 0.03434 
 2455338.461543 14.30357 0.02745 
 2455338.475261 14.30634 0.02586 
 2455339.387270 14.28693 0.03954 
 2455339.393749 14.25577 0.03815 
 2455339.400223 14.24172 0.03785 
 2455339.406698 14.23491 0.03580 
 2455339.413170 14.29780 0.03513 
 2455339.418461 14.27844 0.03638 
 2455339.425856 14.23798 0.03472 
 2455339.433260 14.30016 0.03713 
 2455339.440657 14.24108 0.03474 
 2455339.448061 14.32419 0.03342 
 2455339.459635 14.29246 0.03213 
 2455339.471195 14.35159 0.03407 
 2455340.384297 14.28597 0.04903 
 2455340.386442 14.30999 0.04928 
 2455340.390706 14.27395 0.04836 
 2455340.392833 14.23859 0.04797 
 2455340.394959 14.29614 0.04391 
 2455340.397089 14.32274 0.04282 
 2455340.399233 14.29893 0.04619 
 2455340.401356 14.29732 0.04135 
 2455340.403488 14.19603 0.04307 
 2455340.405610 14.30343 0.04047 
 2455340.407740 14.27695 0.04228 
 2455340.409868 14.25884 0.04296 
 2455340.411993 14.29341 0.04206 
 2455340.414119 14.23813 0.04211 
 2455340.416244 14.27942 0.04053 
 2455340.418315 14.29510 0.03901 
 2455340.420510 14.29100 0.03941 
 2455340.422634 14.28481 0.04007 
 2455340.424762 14.32298 0.03970 
 2455340.426889 14.27259 0.04043 
 2455340.429016 14.27229 0.04279 
 2455340.431140 14.31332 0.04076 
 2455340.435394 14.32910 0.03792 
 2455340.437518 14.28570 0.03996 
 2455340.466459 14.31465 0.03783 
 2455340.473086 14.30726 0.03452 
 2455348.377369 14.39914 0.04596 
 2455348.391212 14.33640 0.04132 
 2455348.402859 14.36718 0.03916 
 2455348.416709 14.40714 0.03899 
 2455348.430561 14.43848 0.04044 
 2455348.440139 14.40882 0.03904 
 2455348.449715 14.42086 0.04059 
 2455353.348132 14.19148 0.02322 
 2455353.364044 14.22774 0.02231 
