\INPUT_FILE = /stage/nexsci-exo-data-prep/ETSS-prep/KELT/s34/raw/KELT_S34_lc_030753_V01_east_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Sun Jan 03, 20:25:35 2010"               
\STOP_DATE = "Sun Apr 06, 17:48:45 2014"               
\fixlen = T
\NUMRECORDS = 2692     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Oct 23, 13:06:47 2019
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2455202.358184 13.51762 0.01396 
 2455202.360245 13.51619 0.01340 
 2455202.362310 13.52816 0.01331 
 2455202.364369 13.50570 0.01273 
 2455202.366427 13.47929 0.01242 
 2455202.368490 13.50862 0.01352 
 2455202.372606 13.51730 0.01383 
 2455202.374665 13.50972 0.01362 
 2455202.376727 13.54703 0.01450 
 2455202.378791 13.51823 0.01471 
 2455202.382908 13.50860 0.01487 
 2455202.384977 13.49574 0.01423 
 2455202.387036 13.49364 0.01425 
 2455202.389099 13.52330 0.01549 
 2455202.391165 13.47508 0.01466 
 2455202.393222 13.52374 0.01538 
 2455202.395283 13.50020 0.01478 
 2455202.397340 13.50719 0.01493 
 2455202.399401 13.50141 0.01504 
 2455202.401464 13.50143 0.01468 
 2455202.403522 13.49657 0.01462 
 2455202.405581 13.49270 0.01452 
 2455202.407638 13.49572 0.01531 
 2455202.411756 13.49822 0.01534 
 2455202.424107 13.51029 0.01612 
 2455202.426167 13.51652 0.01668 
 2455202.428225 13.50204 0.01550 
 2455202.430283 13.51408 0.01632 
 2455202.434403 13.51778 0.01498 
 2455202.436457 13.50597 0.01492 
 2455202.438514 13.50320 0.01479 
 2455202.440576 13.49801 0.01534 
 2455202.442632 13.51923 0.01587 
 2455202.444700 13.51475 0.01546 
 2455202.452943 13.52492 0.01539 
 2455202.455002 13.52005 0.01493 
 2455202.457066 13.51045 0.01446 
 2455202.459123 13.51733 0.01522 
 2455202.461183 13.52335 0.01494 
 2455202.463245 13.48788 0.01477 
 2455202.465303 13.50535 0.01450 
 2455202.467365 13.48127 0.01402 
 2455202.473548 13.51153 0.01441 
 2455203.339319 13.52731 0.01484 
 2455203.341381 13.49292 0.01395 
 2455203.345502 13.53189 0.01519 
 2455203.347563 13.52886 0.01447 
 2455203.349734 13.52891 0.01489 
 2455203.368269 13.51768 0.01395 
 2455203.370329 13.54539 0.01390 
 2455203.374449 13.51992 0.01337 
 2455203.376510 13.52609 0.01322 
 2455203.378570 13.49950 0.01358 
 2455203.380630 13.48195 0.01294 
 2455203.382689 13.50921 0.01319 
 2455203.384751 13.51398 0.01389 
 2455203.434172 13.51081 0.01385 
 2455203.436230 13.48139 0.01294 
 2455203.446531 13.49162 0.01374 
 2455203.448591 13.51007 0.01346 
 2455203.450654 13.50048 0.01311 
 2455203.452713 13.50910 0.01336 
 2455203.454773 13.50273 0.01362 
 2455203.456834 13.51005 0.01444 
 2455203.458892 13.51053 0.01388 
 2455203.460951 13.50678 0.01374 
 2455203.463009 13.50685 0.01397 
 2455203.467126 13.53174 0.01482 
 2455203.469182 13.52473 0.01360 
 2455203.471243 13.49858 0.01331 
 2455203.473302 13.51906 0.01353 
 2455203.475363 13.49517 0.01358 
 2455203.477421 13.51098 0.01393 
 2455203.479487 13.53287 0.01391 
 2455203.481546 13.52919 0.01353 
 2455203.483602 13.48208 0.01306 
 2455203.485663 13.47041 0.01287 
 2455204.380302 13.53880 0.01308 
 2455204.382359 13.56998 0.01298 
 2455204.384421 13.55772 0.01293 
 2455204.386479 13.57240 0.01327 
 2455204.400895 13.54228 0.01339 
 2455204.402956 13.53632 0.01308 
 2455204.405013 13.53404 0.01225 
 2455204.407071 13.49977 0.01178 
 2455204.409131 13.52946 0.01223 
 2455204.411192 13.51634 0.01247 
 2455204.413250 13.52208 0.01298 
 2455204.417366 13.51295 0.01361 
 2455204.419425 13.51298 0.01280 
 2455204.421484 13.50324 0.01224 
 2455204.423544 13.48760 0.01203 
 2455204.425606 13.50741 0.01248 
 2455204.427668 13.49063 0.01237 
 2455204.429730 13.52399 0.01334 
 2455204.431787 13.52321 0.01306 
 2455204.433849 13.52726 0.01304 
 2455204.435907 13.50513 0.01311 
 2455204.437965 13.50046 0.01280 
 2455204.440024 13.51075 0.01278 
 2455204.442081 13.49989 0.01285 
 2455204.444141 13.48961 0.01259 
 2455204.446199 13.52705 0.01334 
 2455204.448257 13.51223 0.01312 
 2455204.450318 13.51378 0.01280 
 2455204.452376 13.51639 0.01293 
 2455204.454438 13.48940 0.01270 
 2455204.456496 13.53191 0.01320 
 2455204.458556 13.50995 0.01329 
 2455204.460627 13.50571 0.01304 
 2455204.462679 13.52065 0.01320 
 2455204.464740 13.51135 0.01302 
 2455204.466798 13.49053 0.01307 
 2455204.468857 13.50865 0.01300 
 2455204.470920 13.52439 0.01320 
 2455204.472979 13.53903 0.01353 
 2455204.475039 13.50879 0.01309 
 2455204.477095 13.49276 0.01251 
 2455204.479156 13.48844 0.01270 
 2455204.481214 13.50141 0.01303 
