\INPUT_FILE = /exodata/ETSS-prep/KELT/doN04/raw/KELT_N04_lc_012502_V01_west_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 11:06:17 2006"               
\STOP_DATE = "Mon Nov 24, 11:50:37 2008"               
\fixlen = T
\NUMRECORDS = 192      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Mar 02, 05:44:46 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454791.006811 15.38368 0.02798 
 2454791.008929 15.36630 0.02792 
 2454791.011031 15.35306 0.02790 
 2454791.013151 15.39107 0.02766 
 2454791.019470 15.35570 0.02827 
 2454791.021585 15.36005 0.02877 
 2454791.023679 15.38704 0.02838 
 2454791.025796 15.38233 0.02829 
 2454791.908886 15.40655 0.02539 
 2454791.931835 15.36977 0.02625 
 2454791.947125 15.37951 0.02639 
 2454791.954756 15.40405 0.02583 
 2454791.959283 15.36860 0.02654 
 2454791.968354 15.37723 0.02671 
 2454791.972886 15.38574 0.02689 
 2454791.977443 15.36167 0.02705 
 2454791.981983 15.38403 0.02697 
 2454791.993445 15.34878 0.02741 
 2454791.997977 15.34881 0.02823 
 2454792.002496 15.36793 0.02825 
 2454792.007043 15.39217 0.02730 
 2454792.011578 15.41919 0.02754 
 2454792.016103 15.32799 0.02818 
 2454792.020647 15.33905 0.02770 
 2454792.025189 15.36884 0.02789 
 2454792.032440 15.39378 0.02912 
 2454792.039675 15.44052 0.03847 
 2454792.909264 15.37871 0.02510 
 2454792.928856 15.42509 0.02354 
 2454792.938652 15.35990 0.02406 
 2454793.966179 15.43912 0.02518 
 2454793.988672 15.45502 0.02527 
 2454794.003964 15.46605 0.02409 
 2454794.011592 15.51366 0.02473 
 2454794.026868 15.49234 0.02527 
 2454794.031396 15.48374 0.02492 
 2454794.035945 15.47175 0.02570 
 2454794.040486 15.51121 0.02921 
 2454794.913391 15.36870 0.02392 
 2454794.923196 15.39754 0.02402 
 2454794.933000 15.39572 0.02459 
 2454794.993484 15.39680 0.02783 
