\INPUT_FILE = /stage/nexsci-exo-data-prep/ETSS-prep/KELT/s34/raw/KELT_S34_lc_014406_V01_west_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Mon Jan 04, 00:00:01 2010"               
\STOP_DATE = "Fri Jun 13, 17:25:01 2014"               
\fixlen = T
\NUMRECORDS = 2963     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Oct 23, 11:03:09 2019
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2455205.546698 12.66905 0.00542 
 2455205.548759 12.67560 0.00545 
 2455205.550816 12.66970 0.00557 
 2455205.552878 12.66624 0.00539 
 2455205.554882 12.66434 0.00541 
 2455205.556942 12.67016 0.00530 
 2455205.559001 12.66054 0.00532 
 2455205.561061 12.67359 0.00535 
 2455205.563118 12.67232 0.00541 
 2455205.565225 12.64938 0.00537 
 2455205.567285 12.66776 0.00535 
 2455205.569346 12.66661 0.00534 
 2455212.466566 12.66237 0.00490 
 2455212.468639 12.66867 0.00489 
 2455212.470698 12.65939 0.00482 
 2455212.472759 12.66063 0.00479 
 2455212.474822 12.66871 0.00495 
 2455212.476885 12.65990 0.00496 
 2455212.478945 12.66331 0.00495 
 2455212.481133 12.65416 0.00504 
 2455212.483198 12.67634 0.00493 
 2455212.485254 12.66320 0.00497 
 2455212.487314 12.65934 0.00499 
 2455212.489374 12.66351 0.00489 
 2455213.463319 12.67695 0.00543 
 2455213.465380 12.66411 0.00537 
 2455213.467453 12.66204 0.00526 
 2455213.469511 12.65909 0.00522 
 2455213.471575 12.66884 0.00528 
 2455213.473634 12.66931 0.00515 
 2455213.475695 12.67031 0.00522 
 2455213.477757 12.66106 0.00525 
 2455213.479817 12.66909 0.00521 
 2455213.481876 12.66838 0.00521 
 2455213.483937 12.66080 0.00519 
 2455213.485996 12.66961 0.00516 
 2455213.488054 12.65941 0.00512 
 2455213.490114 12.67692 0.00527 
 2455213.492174 12.65617 0.00503 
 2455213.494234 12.66291 0.00513 
 2455213.496297 12.66354 0.00514 
 2455213.498354 12.67023 0.00524 
 2455213.500414 12.67213 0.00514 
 2455213.502474 12.65389 0.00507 
 2455213.504535 12.65946 0.00520 
 2455213.506596 12.67359 0.00519 
 2455213.508655 12.66536 0.00523 
 2455213.510721 12.66519 0.00522 
 2455213.512781 12.65467 0.00507 
 2455213.514841 12.66861 0.00523 
 2455213.516903 12.66959 0.00522 
 2455213.518969 12.65979 0.00518 
 2455213.521027 12.65798 0.00525 
 2455213.523086 12.66036 0.00512 
 2455213.525146 12.65885 0.00512 
 2455213.527207 12.66261 0.00509 
 2455213.529266 12.66080 0.00519 
 2455213.531327 12.66206 0.00520 
 2455213.533386 12.66139 0.00511 
 2455213.535454 12.65883 0.00515 
 2455213.537514 12.66629 0.00521 
 2455213.539575 12.66568 0.00524 
 2455213.541637 12.66323 0.00519 
 2455213.543701 12.66359 0.00526 
 2455213.545760 12.65596 0.00518 
 2455213.547822 12.66408 0.00522 
 2455213.549881 12.66188 0.00506 
 2455213.551940 12.66870 0.00519 
 2455213.554002 12.65975 0.00517 
 2455213.556059 12.66647 0.00535 
 2455213.558123 12.66951 0.00526 
 2455213.560182 12.67069 0.00530 
 2455213.562244 12.66770 0.00531 
 2455213.564304 12.66704 0.00525 
 2455213.566362 12.67068 0.00520 
 2455213.568425 12.67043 0.00517 
 2455213.570484 12.66394 0.00520 
 2455213.572546 12.66966 0.00514 
 2455213.574605 12.66063 0.00511 
 2455213.576668 12.66546 0.00517 
 2455213.578726 12.66826 0.00502 
 2455213.580785 12.66232 0.00512 
 2455213.582847 12.65591 0.00503 
 2455213.584905 12.66856 0.00507 
 2455213.586967 12.66228 0.00513 
 2455213.589027 12.66600 0.00520 
 2455214.510621 12.69552 0.00467 
 2455214.549775 12.65671 0.00462 
 2455214.551837 12.66147 0.00469 
 2455214.553898 12.66907 0.00447 
 2455214.555956 12.66543 0.00567 
 2455214.558019 12.66434 0.00510 
 2455214.560078 12.65706 0.00517 
 2455214.562141 12.66578 0.00463 
 2455214.564200 12.67743 0.00485 
 2455214.566265 12.66108 0.00487 
 2455214.568323 12.66107 0.00486 
 2455214.572443 12.65979 0.00481 
 2455214.574502 12.66188 0.00487 
 2455214.576563 12.68129 0.00486 
 2455214.578622 12.66072 0.00485 
 2455214.580680 12.66291 0.00487 
 2455214.582742 12.66836 0.00491 
 2455214.584801 12.66262 0.00480 
 2455214.586863 12.66355 0.00467 
 2455214.588922 12.66480 0.00490 
 2455216.455842 12.66526 0.00531 
 2455216.464097 12.65881 0.00519 
 2455216.466156 12.65817 0.00516 
 2455216.468220 12.67410 0.00505 
 2455216.470278 12.67702 0.00514 
 2455216.472340 12.66596 0.00508 
 2455216.474402 12.65557 0.00512 
 2455216.476459 12.67169 0.00528 
 2455216.478521 12.67083 0.00511 
 2455216.480581 12.64928 0.00503 
 2455216.482643 12.65923 0.00518 
 2455216.490890 12.66496 0.00518 
 2455216.492950 12.67217 0.00511 
 2455217.451917 12.65970 0.00526 
 2455217.453986 12.67280 0.00527 
 2455217.456068 12.66919 0.00516 
 2455217.458132 12.66549 0.00513 
 2455217.460195 12.66680 0.00521 
 2455217.462262 12.66622 0.00505 
 2455217.464327 12.66119 0.00510 
 2455217.466388 12.66658 0.00513 
 2455217.468450 12.66206 0.00523 
 2455217.470505 12.66840 0.00521 
 2455217.472566 12.66838 0.00518 
 2455217.474623 12.66885 0.00523 
 2455217.476685 12.65793 0.00509 
 2455217.478749 12.67058 0.00525 
 2455217.480806 12.67071 0.00519 
 2455217.482867 12.64934 0.00509 
 2455217.484929 12.66095 0.00520 
 2455217.486988 12.67099 0.00518 
 2455217.489057 12.67259 0.00522 
 2455217.491118 12.66947 0.00515 
 2455217.493178 12.65753 0.00510 
 2455217.495237 12.66445 0.00523 
 2455217.497294 12.66276 0.00514 
 2455217.499350 12.66346 0.00523 
 2455217.501406 12.66779 0.00514 
 2455217.503465 12.65986 0.00522 
 2455217.538453 12.67413 0.00522 
 2455217.540509 12.65874 0.00517 
 2455217.542566 12.65784 0.00528 
 2455217.544624 12.66425 0.00543 
 2455217.546683 12.66231 0.00539 
 2455217.548741 12.66850 0.00542 
 2455217.550797 12.65613 0.00531 
 2455217.552852 12.66271 0.00529 
 2455217.554910 12.66849 0.00535 
 2455218.451065 12.68144 0.00492 
 2455218.453136 12.66211 0.00475 
 2455218.455193 12.66659 0.00474 
 2455218.457253 12.66298 0.00427 
 2455220.444510 12.66021 0.00496 
 2455220.446568 12.67052 0.00498 
 2455220.448639 12.65090 0.00485 
 2455220.450695 12.66465 0.00489 
 2455220.452749 12.66932 0.00481 
 2455220.454885 12.66423 0.00482 
 2455220.456950 12.65885 0.00488 
 2455220.459006 12.65954 0.00490 
 2455220.461072 12.65701 0.00507 
 2455220.469335 12.67292 0.00489 
 2455220.471397 12.66492 0.00451 
 2455220.473459 12.65765 0.00354 
 2455220.475523 12.65574 0.00477 
 2455220.477581 12.66626 0.00484 
 2455220.479640 12.66014 0.00481 
 2455220.481700 12.64895 0.00923 
 2455220.483759 12.66254 0.00403 
 2455220.485817 12.66196 0.00501 
 2455220.487880 12.66397 0.00484 
 2455220.496119 12.66457 0.00490 
 2455220.498181 12.67430 0.00501 
 2455220.500247 12.66433 0.00493 
 2455220.502306 12.66820 0.00496 
 2455220.504362 12.66440 0.00507 
 2455220.506425 12.66165 0.00502 
 2455220.508485 12.65958 0.00513 
 2455220.510543 12.65973 0.00508 
 2455220.512600 12.66087 0.00503 
 2455220.514662 12.66390 0.00516 
 2455220.531155 12.67104 0.00518 
 2455226.427376 12.66198 0.01017 
 2455226.429432 12.66648 0.00988 
 2455226.431504 12.66726 0.01001 
 2455226.433561 12.66124 0.00969 
 2455226.435621 12.66040 0.00999 
 2455226.437682 12.65003 0.00963 
 2455226.439743 12.65801 0.00978 
 2455226.441802 12.67250 0.01009 
 2455226.443860 12.66518 0.00977 
 2455226.445917 12.65358 0.00971 
