\INPUT_FILE = /exodata/ETSS-prep/KELT/s30/raw/KELT_S30_lc_029782_V01_west_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Tue Sep 06, 03:07:23 2011"               
\STOP_DATE = "Wed Mar 04, 18:44:36 2015"               
\fixlen = T
\NUMRECORDS = 415      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Mon Oct 21, 16:39:28 2019
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2456259.382142 15.27447 0.11886 
 2456261.395791 15.31800 0.10645 
 2456264.378285 15.33054 0.06368 
 2456273.378347 15.53771 0.04582 
 2456279.387489 15.33809 0.05890 
 2456279.470941 15.38843 0.05454 
 2456281.393163 15.47276 0.05557 
 2456281.470508 15.34710 0.05367 
 2456282.394509 15.36352 0.06063 
 2456287.387394 15.33186 0.09588 
 2456290.386902 15.28259 0.11106 
 2456295.393462 15.24810 0.05518 
 2456296.393994 15.20988 0.04306 
 2456297.390050 15.32292 0.04279 
 2456298.378078 15.39064 0.04233 
 2456299.377403 15.39794 0.04471 
 2456300.381994 15.34882 0.04559 
 2456301.385010 15.35646 0.04776 
 2456303.381028 15.37796 0.04572 
 2456304.376995 15.34555 0.04144 
 2456305.391122 15.28127 0.04261 
 2456308.392054 15.35484 0.04417 
 2456314.393099 15.37169 0.07367 
 2456315.384513 15.30534 0.07820 
 2456317.377644 15.29578 0.08656 
 2456318.377174 15.34624 0.09286 
 2456539.633103 15.31438 0.04891 
 2456541.636438 15.32731 0.05125 
 2456546.633917 15.29793 0.04435 
 2456552.652491 15.21766 0.09353 
 2456557.642610 15.42470 0.09700 
 2456558.631609 15.44596 0.09354 
 2456559.630403 15.48007 0.08258 
 2456560.628197 15.35093 0.07018 
 2456561.629442 15.30101 0.07182 
 2456564.546401 15.43337 0.05303 
 2456564.627231 15.37092 0.05176 
 2456565.559677 15.40746 0.05554 
 2456567.544599 15.28143 0.06018 
 2456568.630053 15.27223 0.06207 
 2456573.589621 15.46410 0.05301 
 2456574.587373 15.30846 0.05574 
 2456575.598234 15.36917 0.06102 
 2456579.587484 15.33008 0.05358 
 2456580.504540 15.48243 0.08441 
 2456580.594112 15.38318 0.06108 
 2456581.545332 15.44595 0.10593 
 2456588.550311 15.24189 0.10155 
 2456589.505346 15.32480 0.07950 
 2456594.506072 15.25097 0.06428 
 2456594.591300 15.21500 0.06334 
 2456595.479065 15.24287 0.06135 
 2456595.553959 15.30334 0.05763 
 2456599.502574 15.38224 0.06464 
 2456599.588950 15.36200 0.05754 
 2456600.516354 15.39539 0.05937 
 2456600.590250 15.34342 0.05532 
 2456601.515087 15.17617 0.05741 
 2456601.589761 15.38007 0.05880 
 2456602.511956 15.36810 0.06138 
 2456602.586449 15.32847 0.09261 
 2456604.505430 15.37602 0.05319 
 2456604.597886 15.24093 0.06278 
 2456605.511662 15.28920 0.03360 
 2456605.585840 15.29394 0.05264 
 2456606.505976 15.29251 0.05656 
 2456606.593277 15.40682 0.05633 
 2456607.507268 15.32249 0.05345 
 2456608.507336 15.37205 0.06256 
 2456609.505310 15.44037 0.07851 
 2456611.432488 15.36075 0.11303 
 2456615.425017 15.25095 0.12667 
 2456615.510841 15.34154 0.12942 
 2456616.539638 15.31076 0.12266 
 2456617.429660 15.40028 0.09235 
 2456618.426600 15.39975 0.08363 
 2456618.505518 15.43749 0.08138 
 2456619.425208 15.35435 0.07787 
 2456619.504218 15.45311 0.07512 
 2456621.419696 15.37630 0.05304 
 2456622.465664 15.28336 0.05919 
 2456622.543577 15.28582 0.06566 
 2456625.460631 15.33423 0.05429 
 2456627.426394 15.39651 0.06094 
 2456630.381845 15.34876 0.05726 
 2456631.381078 15.23042 0.05714 
 2456632.383956 15.32764 0.05436 
 2456632.474254 15.33049 0.06104 
 2456633.424629 15.35342 0.14554 
 2456636.476953 15.26592 0.05400 
 2456639.430432 15.33732 0.10741 
 2456644.344987 15.41484 0.13234 
 2456644.419636 15.36822 0.13631 
 2456645.424738 15.30685 0.11884 
 2456646.378704 15.37613 0.10171 
 2456648.382673 15.35107 0.08192 
 2456648.461714 15.32970 0.08684 
 2456649.380686 15.29373 0.06364 
 2456649.463542 15.33578 0.07305 
 2456650.386214 15.30690 0.05203 
 2456651.377256 15.21689 0.05948 
 2456652.390844 15.33106 0.05844 
 2456652.465381 15.25825 0.06646 
 2456653.383310 15.36287 0.05579 
 2456654.380674 15.29516 0.05369 
 2456655.457186 15.30314 0.05190 
 2456656.378803 15.40639 0.05164 
 2456657.504214 15.39058 0.06153 
 2456658.385165 15.35178 0.05714 
 2456659.384146 15.41061 0.05390 
 2456660.391980 15.27385 0.06211 
 2456669.379354 15.32375 0.09399 
