time,flux,flux_err,source,tic_id,p_period,p_period_err,s_period,s_period_err,p_phase,s_phase
2458983.660795148,0.8737742900848389,0.0008825496770441532,TESS,TIC 165615442,5.474828366,0.00049170499,5.474810666,0.00085863311,0.0,0.0
2458983.6816290314,0.8760621547698975,0.0008825496770441532,TESS,TIC 165615442,5.474828366,0.00049170499,5.474810666,0.00085863311,0.0038053948072450084,0.0038054071100427117
2458983.7024629153,0.8847244381904602,0.0008825496770441532,TESS,TIC 165615442,5.474828366,0.00049170499,5.474810666,0.00085863311,0.007610789699544973,0.0076108143051406545
2458983.7232967997,0.9000329971313477,0.0008825496770441532,TESS,TIC 165615442,5.474828366,0.00049170499,5.474810666,0.00085863311,0.011416184676899893,0.01141622158529383
2458983.744130684,0.925745964050293,0.0008825496770441532,TESS,TIC 165615442,5.474828366,0.00049170499,5.474810666,0.00085863311,0.015221579654254814,0.015221628865447003
2458983.764964569,0.9546035528182983,0.0008825496770441532,TESS,TIC 165615442,5.474828366,0.00049170499,5.474810666,0.00085863311,0.01902697471666469,0.01902703623065541
2458983.785798454,0.9813420176506042,0.0008825496770441532,TESS,TIC 165615442,5.474828366,0.00049170499,5.474810666,0.00085863311,0.022832369864129527,0.022832443680919044
2458983.80663234,0.9975746870040894,0.0008825496770441532,TESS,TIC 165615442,5.474828366,0.00049170499,5.474810666,0.00085863311,0.026637765096649314,0.026637851216237914
2458983.827466226,1.0025259256362915,0.0008825496770441532,TESS,TIC 165615442,5.474828366,0.00049170499,5.474810666,0.00085863311,0.03044316041422406,0.030443258836612013
2458983.848300113,1.0009652376174927,0.0008825496770441532,TESS,TIC 165615442,5.474828366,0.00049170499,5.474810666,0.00085863311,0.034248555816853765,0.034248666542041346
2458983.869134,1.0012086629867554,0.0008825496770441532,TESS,TIC 165615442,5.474828366,0.00049170499,5.474810666,0.00085863311,0.038053951304538425,0.0380540743325259
2458983.8899678877,1.0032031536102295,0.0008825496770441532,TESS,TIC 165615442,5.474828366,0.00049170499,5.474810666,0.00085863311,0.04185934687727804,0.0418594822080657
2458983.9108017753,1.0035462379455566,0.0008825496770441532,TESS,TIC 165615442,5.474828366,0.00049170499,5.474810666,0.00085863311,0.04566474245001765,0.04566489008360549
2458983.931635664,1.0040903091430664,0.0008825496770441532,TESS,TIC 165615442,5.474828366,0.00049170499,5.474810666,0.00085863311,0.04947013819286718,0.04947029812925575
2458983.952469553,1.0033302307128906,0.0008825496770441532,TESS,TIC 165615442,5.474828366,0.00049170499,5.474810666,0.00085863311,0.05327553402077166,0.05327570625996123
2458983.973303442,1.0043171644210815,0.0008825496770441532,TESS,TIC 165615442,5.474828366,0.00049170499,5.474810666,0.00085863311,0.057080929848676146,0.05708111439066672
2458983.994137332,1.0042169094085693,0.0008825496770441532,TESS,TIC 165615442,5.474828366,0.00049170499,5.474810666,0.00085863311,0.06088632584669054,0.06088652269148267
2458984.014971222,1.0060830116271973,0.0008825496770441532,TESS,TIC 165615442,5.474828366,0.00049170499,5.474810666,0.00085863311,0.06469172184470494,0.06469193099229861
2458984.035805112,1.0050511360168457,0.0008825496770441532,TESS,TIC 165615442,5.474828366,0.00049170499,5.474810666,0.00085863311,0.0684971179277743,0.0684973393781698
2458984.056639003,1.0051193237304688,0.0008825496770441532,TESS,TIC 165615442,5.474828366,0.00049170499,5.474810666,0.00085863311,0.0723025140958986,0.07230274784909621
2458984.0774728945,1.0062114000320435,0.0008825496770441532,TESS,TIC 165615442,5.474828366,0.00049170499,5.474810666,0.00085863311,0.07610791034907786,0.07610815640507786
