time,flux,flux_err,source,tic_id,p_period,p_period_err,s_period,s_period_err,p_phase,s_phase
2458596.8067498445,1.0000776052474976,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.0,0.0
2458596.8275832753,1.0041853189468384,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.0034118898581433285,0.0034119279311404104
2458596.848416708,1.008326530456543,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.006823780021331954,0.0068238561673295214
2458596.8692501425,1.0111973285675049,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.010235670489565876,0.010235784708567335
2458596.890083579,1.0076268911361694,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.013647561262845097,0.013647713554853847
2458596.910917017,1.006098747253418,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.017059452341169616,0.017059642706189062
2458596.931750457,1.0025407075881958,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.020471343648278104,0.020471572086310803
2458596.9525838983,1.007602572441101,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.02388323526043189,0.023883501771481245
2458596.9734173417,1.0034706592559814,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.027295127177630978,0.02729543176170039
2458596.9942507865,1.011967658996582,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.030707019323614033,0.030707361980706057
2458597.015084233,1.0022609233856201,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.03411891177464239,0.03411929250476043
2458597.035917681,1.0037933588027954,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.03753080445445472,0.037531223257601325
2458597.056751131,1.0066912174224854,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.040942697439312344,0.04094315431549092
2458597.0775845824,1.0094918012619019,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.04435459065295394,0.04435508560216705
2458597.0984180355,1.0044755935668945,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.04776648417164083,0.04776701719389187
2458597.11925149,1.0010356903076172,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.0511783779191117,0.05117894901440322
2458597.140084946,1.0048061609268188,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.05459027189536654,0.054590881063701094
2458597.1609184034,1.0091601610183716,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.05800216610040536,0.058002813341785496
2458597.1817518626,1.0081614255905151,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.06141406061048947,0.0614147459249186
2458597.202585323,1.0108330249786377,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.06482595527309623,0.06482667866057605
2458597.2234187843,0.9984570741653442,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.06823785016448695,0.06823861162502004
2458597.2442522473,1.0068285465240479,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.07164974528466167,0.07165054481825055
2458597.2650857116,0.9973512291908264,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.07506164063362035,0.07506247824026757
2458597.2859191773,1.0102829933166504,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.078473536211363,0.07847441189107113
2458597.306752644,1.0014252662658691,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.0818854319416283,0.08188634569439904
2458597.3275861116,1.0040793418884277,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.08529732782441625,0.0852982796502513
2458597.348419581,1.0164127349853516,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.08870922401224948,0.08871021391115226
2458597.369253051,1.0147688388824463,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.09212112027634406,0.0921221482483154
2458597.3900865223,1.0177754163742065,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.0955330167692226,0.09553408281426505
2458597.410919995,1.022426724433899,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.09894491349088512,0.09894601760900124
2458597.4317534682,1.0157859325408936,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.10235681028880896,0.1023579524799996
2458597.452586943,1.010443091392517,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.10576870731551677,0.10576988757978449
2458597.473420418,1.014172077178955,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.10918060441848591,0.10918182275583155
2458597.4942538943,1.0144959688186646,0.001056815031915903,TESS,TIC 253270207,6.106126422,0.000191118,6.106058285,0.007973,0.11259250175023902,0.11259375816066515
